,text,abstract,abstract_size,pred_summary,nltk_pred_summary
2343,"An increasing number of sectarian attacks in India might help drive support to terror group al-Qaeda, a top US expert, Katherine Zimmerman, has warned. Adding that al-Qaeda re-consolidated in North Africa after the rise of ISIS, Zimmerman said that the militant group remains embedded in the insurgencies and is looking to reassert itself in the Indian subcontinent through Punjab. ","By Lalit K Jha                Washington, Jul 15 (PTI) Rising sectarian attacks in India might help drive support to al-Qaeda, a top US expert has told lawmakers, noting that the terror group is trying to reassert itself in the Indian subcontinent. ""Rising sectarian attacks in India might help drive support to al-Qaida,"" Katherine Zimmerman, research fellow, American Enterprise Institute, a top American think-tank, told members of the House Homeland Security Subcommittee on Counterterrorism and Intelligence during a Congressional hearing on al-Qaida threat. ""Al-Qaeda reconsolidated in the Maghreb and Sahel after the rise of ISIS. It remains embedded in the insurgencies, and it is looking to reassert itself in the Indian subcontinent through Punjab,"" she said. ""The senior leadership is no longer concentrated in Afghanistan-Pakistan, nor is it synonymous with what the Obama administration once dubbed al-Qaida core. Al-Qaidas senior leadership is found today in Syria, Yemen, Afghanistan, Pakistan and beyond,"" Zimmerman said. ""The old leadership continues to provide strategic guidance, Ayman al-Zawahiri issues overall direction to the network, and leadership attrition has compelled al-Qaida to reveal a deeper bench than we knew it was there before,"" she said. Responding to questions, Zimmerman said it is important to closely monitor the situation in the Indian subcontinent, which is increasingly restive. ""Recognising that we have key interests in the broader stability of the region,"" she said. ""I think theres no question its a concern if you look at the increasing levels of violence that have been perpetrated by groups associated with al-Qaida in the Indian subcontinent, as well as ISIS in Bangladesh,"" said Seth Jones from the Rand Foundation in response to another question. ""We have a range of the conditions. Weve already talked about on this committee, on this panel, weak governance, economic challenges, opportunities for fighters, and its proximity to both Pakistan and Afghanistan active war zones that make Bangladesh of concern,"" he said. Jones said the al-Qaeda core has clearly been weakened. ",13,"An increasing number of sectarian attacks in India might help drive support to terror group al-Qaeda, a top US expert, Katherine Zimmerman, has warned. Adding that al-Qaeda re-consolidated in North Africa after the rise of ISIS, Zimmerman said that the militant group remains embedded in the insurgencies and is looking to reassert itself in the Indian subcontinent through Punjab.","An increasing number of sectarian attacks in India might help drive support to terror group al-Qaeda, a top US expert, Katherine Zimmerman, has warned. Adding that al-Qaeda re-consolidated in North Africa after the rise of ISIS, Zimmerman said that the militant group remains embedded in the insurgencies and is looking to reassert itself in the Indian subcontinent through Punjab."
4380,"Indian sand artist Sudarsan Pattnaik has been invited by Bahrain's Economic Development Board (EDB) to a sand art workshop cum training programme to teach the art to nearly 30 teachers in the country. The five-day workshop, to start on Sunday, will be held at a beach where Padma Shri Pattnaik would teach various techniques of creating sand art.","Bhubaneswar, Mar 4 (PTI) Noted sand artist Sudarsan Pattnaik has been invited by the Economic Development Board (EDB), Bahrain to a sand art workshop cum training programme. Around 30 teachers from the Ministry of Education in Bahrain will participate in this workshop which is being organised by (EDB), Pattnaik said. Sudarsan said he would teach various techniques of creating sand art during the five-day workshop. The workshop will be held at beach, where the participants will be able to create their own sand sculptures. ",4,"Indian sand artist Sudarsan Pattnaik has been invited by Bahrain's Economic Development Board (EDB) to a sand art workshop cum training programme to teach the art to nearly 30 teachers in the country. The five-day workshop, to start on Sunday, will be held at a beach where Padma Shri Pattnaik would teach various techniques of creating sand art.","Indian sand artist Sudarsan Pattnaik has been invited by Bahrain's Economic Development Board (EDB) to a sand art workshop cum training programme to teach the art to nearly 30 teachers in the country. The five-day workshop, to start on Sunday, will be held at a beach where Padma Shri Pattnaik would teach various techniques of creating sand art."
3717,"British athlete Germaine Mason, who won a high jump silver medal at the 2008 Beijing Olympics, died in a motorcycle crash in Jamaica on Thursday. The 34-year-old was riding back after a night out with a few athletes, which included eight-time Olympic champion Usain Bolt. Mason was reportedly at the front of the convoy when the accident occurred.","Germaine Mason, the British athlete who won a high jump silver medal at the 2008 Olympics, has died in a motorcycle accident in Jamaica.The 34-year-old was riding at the front of a convoy with a number of athletes, including Usain Bolt and the 2005 world championship 100m silver medallist Michael Frater, as well as the former Bolton defender Ricardo Gardner, when he lost control of his bike on the Palisadoes main road in Kingston.Our sincere condolences to the entire sporting fraternity.Unconfirmed reports suggest he was trying to avoid a vehicle that had lost control on the other side of the road. He was pronounced dead at the scene.Mason was born in Jamaica and trained with the Stephen Francis-coached MVP Track Club before switching allegiance to Great Britain in 2006. Two years later he won a silver medal for Great Britain in Beijing after jumping 2.34m ? a height that equalled his personal best ? to finished behind the Russian Andrey Silnov, who cleared 2.36m.Andrew Holness, the prime minister of Jamaica, tweeted: ?Our sincere condolences to the entire sporting fraternity.?This is just awful. Such sad news. https://t.co/dBECw1WbtFMason qualified for Britain by virtue of a British father, who, confusingly, lived in Jamaica while his Jamaican mother lived in west London. He held a British passport all his life but decided to switch allegiances after being struck by a serious knee ligament injury in 2004. He made his GB debut in the 2006 European Cup.Jessica Ennis-Hill posted on Twitter: ?This is awful. Such sad news.?Niels de Vos, the chief executive of UK Athletics, issued a statement on behalf of the governing body which read: ?Our staff and colleagues who worked with Germaine are naturally saddened to hear this awful news. Our deepest sympathies go to Germaine?s friends, family and the athletics community at this difficult time.?Fuzz Caan, the senior high jump coach at British Athletics who worked closely with Germaine at the time of his Olympic success, added: ?Germaine was an outstanding athlete and a truly lovely man. He had a wry sense of humour and was a pleasure to be around. He was a great ambassador of British high jumping. It is an honour for us to have him as part of our sporting history.?",27,"British athlete Germaine Mason, who won a high jump silver medal at the 2008 Beijing Olympics, died in a motorcycle crash in Jamaica on Thursday. The 34-year-old was riding back after a night out with a few athletes, which included eight-time Olympic champion Usain Bolt. Mason was reportedly at the front of the convoy when the accident occurred.","British athlete Germaine Mason, who won a high jump silver medal at the 2008 Beijing Olympics, died in a motorcycle crash in Jamaica on Thursday. The 34-year-old was riding back after a night out with a few athletes, which included eight-time Olympic champion Usain Bolt. Mason was reportedly at the front of the convoy when the accident occurred."
4031,"State-run Indian Oil Corporation (IOC) on Monday signed an agreement to supply over 10 lakh tonnes of petroleum products annually to Nepal for the next five years, Chairman B Ashok said. ""The supply agreement... will meet the full requirements, demand and quantities of all the major oil products, including petrol, diesel, kerosene, aviation turbine fuel and LPG,"" he added.","State-run Indian Oil Corp (IOC) on Monday signed an agreement to supply over 1 million tonnes (MT) of petroleum products annually to Nepal for the next five years, Chairman B. Ashok said.All About The Agreement ""The supply agreement signed today is for the period April 2017 to March 2022 and will meet the full requirements, demand and quantities of all the major oil products, including petrol, diesel, kerosene, aviation turbine fuel and LPG,"" Ashok told reporters here.IOC will supply Euro-IV grade petrol and diesel to Nepal from next month.""Every 5 years, we renew fuel supply agreement with Nepal. Today (Monday), IOC and Nepal Oil Corporation signed agreement for supplying fuels for the next 5 years,"" Petroleum Minister Dharmendra Pradhan said at the MoU signing event.The new MoU, he said, is ""much better"" than the previous ones as ""it keeps the interests of both the nations"".He however did not elaborate.Pipeline For Fuel Transportation""We feel it is the responsibility of India to help Nepal meet its energy requirements, especially after Prime Minister Narendra Modi's visit to Nepal in 2014 where in his address to Nepal parliament took responsibility of the Raxaul-Amlekhganj petroleum product pipeline,"" he said.While presently the fuel is sent by trucks, a pipeline will be laid from Patna-Motihari-Amlekganj for supply of fuel in future. According to IOC officials, the pipeline will get fuel from IOC's Barauni refinery in Bihar as well as Haldia refinery in West Bengal. Pradhan said work on the pipeline should begin in 2017-18.""Nepal wants to take that pipeline little forward to near Kathmandu which is about 70 kms more and has sought technical help from IOC, though the expenses will be incurred by Nepal,"" he said.Pradhan said a high level official committee has been formed to look into preparing feasibility of the pipeline as well as another LPG pipeline from Motihari to Nepal's Amlekhganj.",13,"State-run Indian Oil Corporation (IOC) on Monday signed an agreement to supply over 10 lakh tonnes of petroleum products annually to Nepal for the next five years, Chairman B Ashok said. ""The supply agreement... will meet the full requirements, demand and quantities of all the major oil products, including petrol, diesel, kerosene, aviation turbine fuel and LPG,"" he added.","State-run Indian Oil Corporation (IOC) on Monday signed an agreement to supply over 10 lakh tonnes of petroleum products annually to Nepal for the next five years, Chairman B Ashok said. ""The supply agreement... will meet the full requirements, demand and quantities of all the major oil products, including petrol, diesel, kerosene, aviation turbine fuel and LPG,"" he added."
3055,"An 80-year-old woman in Madhya Pradesh's Bhopal was reportedly beaten by police, who accused her of hiding agitators inside her house. The police came to Kamla Bai's house chasing protesters from a farmers' rally in a nearby village and injured her family members as well. The woman has gone on a fast, demanding that CM Shivraj Singh Chouhan meet her.","An 80-year-old woman in Bhopal has alleged that a group of four-five policemen barged into her house and beat her with sticks, breaking her bones and grievously injuring her husband too. According to an NDTV report, the policemen came to her house while chasing agitators who had disrupted a rally in nearby Phanda Kalan village near Sehore, as they ran through her compound. When the boys outran the cops, they turned to Kamlabai (80) and said, ""You are one of them, you ordered that trucks be set ablaze."" After beating Kamlabai, her husband and sons, the cops arrested her grandsons along with Kamlabai herself. Bandaged on arms and legs where she has suffered fractures, Kamlabai went to meet the Madhya Pradesh CM Shivraj Singh Chouhan who was fasting 40km from her village in Dusshera Maidan in Bhopal. But to her dismay, she was not allowed to meet the chief minister who was holding his 'peace fast' for the state farmers. The couple has gone on a fast now, demanding that the chief minister meet them and assure them justice for the unprovoked assault they were subjected to and punish the policemen. Also read: Madhya Pradesh: Shivraj Singh Chouhan ends his 'peace fast' on Day 2 ",8,"An 80-year-old woman in Madhya Pradesh's Bhopal was reportedly beaten by police, who accused her of hiding agitators inside her house. The police came to Kamla Bai's house chasing protesters from a farmers' rally in a nearby village and injured her family members as well. The woman has gone on a fast, demanding that CM Shivraj Singh Chouhan meet her.","An 80-year-old woman in Madhya Pradesh's Bhopal was reportedly beaten by police, who accused her of hiding agitators inside her house. The police came to Kamla Bai's house chasing protesters from a farmers' rally in a nearby village and injured her family members as well. The woman has gone on a fast, demanding that CM Shivraj Singh Chouhan meet her."
2352,"Ajinkya Rahane, who did not play a single Champions Trophy match, has said he had no ego issues carrying drinks for the team. ""If I'm the vice-captain in Tests, it doesn't mean I will not be performing my duties as a 12th man in ODIs. When you're representing your country, you are supposed to do whatever you're assigned,"" said Rahane.","It's not easy if you have been an India Test captain in March and performing the duties of a 12th man in June but Ajinkya Rahane is a team man to the core, who believes that moment one wears the India jersey, one needs to keep all his insecurities and ego issues at bay. Rahane was the captain during India's series winning Test against Australia at Dharamsala. However in Champions Trophy, he did not get to play a single match and had to perform the duties of a 12th man. But in the West Indies series that followed, he emerged as the top run-getter with Man of the Series award.""If I am the vice-captain of the Test team, it does not mean that I will not be performing my duties as a 12th man in ODIs. The moment you are representing your country, you are supposed to do whatever you are assigned. When I was carrying drinks during the Champions Trophy, I had no ego issues. That's how I am as a person,"" Rahane said.The elegant right-hander made a successful comeback into the ODI playing XI with 336 runs from five ODIs at an average of 67.20 including a hundred and three half-centuries. ""West Indies was a special series for me simply for the consistency that I was able to show. This series is an important one for my ODI career and getting runs in almost all the matches was a really satisfying feeling. I got opportunity to show a different side to my batting and express myself differently,"" said Rahane.For Rahane, more than technical, there were mental adjustments that were really very necessary. Asked to elaborate, Rahane said: ""By instinct, I am an attacking batsman but the pitches in the West Indies required a different mindset. It required patience and at times not get enticed to go for the big ones. Discretion was necessary in shot selection.""And when we talk about discretion, that's where the mind comes into play - to be able to think clearly what are the shots that I am going to play in a particular situation, on a particular kind of pitch,"" he said.For him, what made the knocks special was the pitches in the West Indies which weren't exactly batting friendly with the ones in Port of Spain and Antigua creating difficulties.""Actually the 62 that I got in the first ODI (abandoned due to rain), gave me a lot of confidence. It was my comeback match. I wanted to have a good knock under my belt. Once I got those runs, the second match was even better when I scored that century. The pitches were sluggish in nature and each pitch was so different from one another,"" he stated.The soft-spoken Rahane said that not for once did he feel insecured because he was coming in place of a rested Rohit Sharma, who is again expected to open the innings during the Sri Lanka ODIs.""This is a great phase in Indian cricket where we have so many top quality players competing for a place in the Indian team. It's always good to have competition. As far as I am concerned, I have never ever been insecure in my life.""Although he doesn't want to look too far ahead, Rahane is game about batting at any slot in the limited overs version. ""Actually my spiritual guru tells me one thing. It is very important to live in the present, irrespective of whether you are playing or not. The biggest lesson of life for me is to keep things simple.",32,"Ajinkya Rahane, who did not play a single Champions Trophy match, has said he had no ego issues carrying drinks for the team. ""If I'm the vice-captain in Tests, it doesn't mean I will not be performing my duties as a 12th man in ODIs. When you're representing your country, you are supposed to do whatever you're assigned,"" said Rahane.","Ajinkya Rahane, who did not play a single Champions Trophy match, has said he had no ego issues carrying drinks for the team. ""If I'm the vice-captain in Tests, it doesn't mean I will not be performing my duties as a 12th man in ODIs. When you're representing your country, you are supposed to do whatever you're assigned,"" said Rahane."
1172,"Actress Amy Jackson's phone was hacked and personal pictures were leaked online. It was reportedly hacked at a mobile store in Mumbai, where she halted for her connecting flight from London to Chennai. ""I was shocked when this happened... I will register a complaint with cyber crime cell in London and ensure the hackers are taken to task,"" said Amy. ","Amy Jackson, who returned to Chennai from London, was at a mobile store in Mumbai. Reportedly, Amy Jackson's phone was hacked and personal pictures of the actor was leaked on the internet. She was in Mumbai to catch the connecting flight to Chennai. It is believed that her phone was hacked at the mobile store.Speaking about the incident, Amy was quoted by mid-day as saying, ""I was shocked when this happened. This isn't a trivial matter and has to be taken up seriously. I will register a complaint with the cyber crime cell in London and ensure the hackers are taken to task. Cyber safety is the need of the hour.""Amy, who was in Kerala to perform at the Vanitha Film Awards, said that she is set to rejoin the shoot of superstar Rajinikanth's upcoming sci-fi thriller 2.0.Thanks Kerala! Next stop Chennai for Robot 2.0 shoot ð??¬Directed by Shankar, the film is made on a lavish budget of Rs 400 crore. Reports suggest that 90 per cent of the shoot is done.Also starring Akshay Kumar, Sudhanshu Pandey and Adil Hussain, 2.0 is slated to release on Diwali.",17,"Actress Amy Jackson's phone was hacked and personal pictures were leaked online. It was reportedly hacked at a mobile store in Mumbai, where she halted for her connecting flight from London to Chennai. ""I was shocked when this happened... I will register a complaint with cyber crime cell in London and ensure the hackers are taken to task,"" said Amy.","It was reportedly hacked at a mobile store in Mumbai, where she halted for her connecting flight from London to Chennai. Actress Amy Jackson's phone was hacked and personal pictures were leaked online. I will register a complaint with cyber crime cell in London and ensure the hackers are taken to task,"" said Amy. ""I was shocked when this happened..."
3522,"A 30-year-old Bengaluru woman has filed an FIR against an Ola driver, accusing him of molesting her on her way back from office at 2:15 AM on Friday. ""Before I realised, his hands were on my chest...I screamed and told him to stop the car, but he kept driving,"" she said. Police has identified the accused and begun its investigation.","An Ola cab driver allegedly molested a woman in Bengaluru in early hours on Friday morning. The woman, a professional singer was on her way from Koramngala to Begur when the driver stopped the cab at an isolated place around 2:15 am and groped her.""We had just crossed Bommanahalli signal when he said that the roads ahead were blocked and under the pretext of reversing, he stopped, turned and groped me,"" she said. She managed to escape from the spot but the driver followed her. The driver ran away only after the woman threatened to call the cops.The woman took shelter in Lakshmi Specialty Hospital and later filed an FIR with Bommanahalli police station.The police is now on a lookout for Ravi Kumar who has been booked under Section 354(A) of the Indian Penal Code. In light of this incident, Ola released a statement, ""'We have terminated the driver partner from the Ola platform as soon as we received a complaint from the customer. Safety of users is of utmost importance to us and we have zero-tolerance towards any such behavior. We have assured the customer of  full support in further investigation of the issue.' Also Read: Mumbai: TV actor Parth Samthaan booked for molestation Nagpur: Lecturer booked for molestation, Shiv Sena workers blackens face",11,"A 30-year-old Bengaluru woman has filed an FIR against an Ola driver, accusing him of molesting her on her way back from office at 2:15 AM on Friday. ""Before I realised, his hands were on my chest... I screamed and told him to stop the car, but he kept driving,"" she said. Police has identified the accused and begun its investigation.","A 30-year-old Bengaluru woman has filed an FIR against an Ola driver, accusing him of molesting her on her way back from office at 2:15 AM on Friday. Police has identified the accused and begun its investigation. I screamed and told him to stop the car, but he kept driving,"" she said. ""Before I realised, his hands were on my chest..."
1749,"After SP MLA Abu Azmi said women consider nudity as fashion, his son Farhan Azmi engaged in a war of words with Esha Gupta. ""The only woman to blame here...is the woman who unknowingly gave birth to a jerk like Abu Azmi,"" Esha tweeted. ""She was far more dignified than U,"" Farhan tweeted while retweeting a topless picture of Esha.n","Like father, like son, right? Seems so.Samajwadi Party's Maharashtra Unit Chief Abu Azmi recently shared his mind on the mass molestation incident in Bengaluru on New Year's Eve.ALSO READ: Bengaluru Molestation happened because nudity is in fashion, says Abu Azmi ALSO READ: Abu Azmi's comments are choking, says son Farhan AzmiALSO WATCH: SP MLA Abu Azmi blames women for Bengaluru molestation incidentSpeaking to India Today, Abu said that molestation is unavoidable because women consider being nude as fashion. ""If a girl celebrates after dark she should go with her husband, father and not with strangers. There should be strict action against those going against our culture,"" Abu said.Earlier in 2014, Abu had gone on record to say that a raped girl should be hanged. A Deccan Chronicle report stated that according to Abu Azmi, ""Rape is punishable by hanging in Islam. But here, nothing happens to women, only to men. Even the woman is guilty.""Regarding her father-in-law's statements, Ayesha had expressed her grief and rage regarding them on Twitter.if wot im reading about my father in laws statements r true then me and Farhan are deeply embarrassed n ashamed...We surely do nottt share this mindset...its disrespectful to women.if these statements r true then its sad.Well, yesterday actor Esha Gupta took to a dig at Abu Azmi's rampant misogny and tweeted that the only woman to blame in regard to Abu Azmi's remarks is his mother for unknowingly giving birth to a ""jerk"".Abu Azmi's enraged son Farhan Azmi took to Twitter and attacked Esha in the most vile manner possible.Meanwhile, on a completely unrelated note, Farhan Akhtar had tweeted the following.But then, Farhan Azmi took offense to that as well and attacked Farhan Akhtar.",17,"After SP MLA Abu Azmi said women consider nudity as fashion, his son Farhan Azmi engaged in a war of words with Esha Gupta. ""The only woman to blame here... is the woman who unknowingly gave birth to a jerk like Abu Azmi,"" Esha tweeted. ""She was far more dignified than U,"" Farhan tweeted while retweeting a topless picture of Esha. n","After SP MLA Abu Azmi said women consider nudity as fashion, his son Farhan Azmi engaged in a war of words with Esha Gupta. ""The only woman to blame here... is the woman who unknowingly gave birth to a jerk like Abu Azmi,"" Esha tweeted. ""She was far more dignified than U,"" Farhan tweeted while retweeting a topless picture of Esha. n"
82,"As many as 22 of 29, or 76% of ministers in the new Bihar cabinet face criminal charges against them, higher than the 19 ministers (69%) in the previous Grand Alliance government. Further, 21 ministers (72%) are crorepatis, a little less than 22 (79%) in the previous government. Also, a minister in the new cabinet earns an average ?2.46 crore.","Twentytwo  of the 29 ministers in the newly-appointed Nitish Kumar cabinet in Bihar face criminal cases against them.A report by election watchdog Association for Democratic Reforms (ADR), based on affidavits filed by candidates to the Election Commission of India (ECI), said 76% ministers face criminal cases. This is three more than the previous ?mahagathbandhan? (Grand Alliance) government of the Rashtriya Janata Dal (RJD), Janata Dal (United) and the Congress, in which 19 of the 29 ministers (69%) were tainted.Bihar chief minister Nitish Kumar had on July 26 distanced himself with the Grand Alliance, citing allegations of corruption against deputy chief minister and RJD leader Tejashwi Yadav. The same evening he took the support of the Bharatiya Janata Party (BJP)-led National Democratic Alliance (NDA) to stay at the helm in the state. The new ministers were sworn in on July 29.Of the 22 tainted ministers in the new cabinet, nine mentioned in their affidavits facing serious criminal cases against them. Two of Kumar?s party ministers even face attempt to murder charges under section 307 of the IPC against them. Many other ministers face cases of dacoity, theft, fraud and atrocities against them.Interestingly, the average income of a minister in the new cabinet is Rs 2.46 crore, even as the percentage of crorepati ministers dropped marginally this time as compared to Kumar?s previous government. While 79% ministers ? 22 ? were crorepatis in the GA government, 21 (72%) are crorepatis in the JD(U)-led NDA government.Labour resources minister and BJP MLA from Lakhisarai, Vijay Kumar Sinha, has properties worth Rs 15.50 crore, while urban development department minister and BJP MLA from Muzaffarpur Suresh Kumar has properties worth Rs 11 crore. Water resources and planning minister and JD(U) legislator from Munger, Rajiv Ranjan Singh, has properties worth Rs 5 crore. ",18,"As many as 22 of 29, or 76% of ministers in the new Bihar cabinet face criminal charges against them, higher than the 19 ministers (69%) in the previous Grand Alliance government. Further, 21 ministers (72%) are crorepatis, a little less than 22 (79%) in the previous government. Also, a minister in the new cabinet earns an average ?2. 46 crore.","As many as 22 of 29, or 76% of ministers in the new Bihar cabinet face criminal charges against them, higher than the 19 ministers (69%) in the previous Grand Alliance government. Also, a minister in the new cabinet earns an average ?2. Further, 21 ministers (72%) are crorepatis, a little less than 22 (79%) in the previous government. 46 crore."
2392,"The voice actor of Kermit the Frog, Steve Whitmire has claimed he was fired from the Disney show 'The Muppets' after twenty seven years. In an open letter, he wrote, ""I'd never consider abandoning Kermit...to do so would be to forsake the assignment entrusted to me by Jim Henson...mentor...my hero."" Whitmire took over as Kermit following Henson's death in 1990. ","Steve Whitmire, the puppeteer who was fired after 27 years as Kermit the Frog has said he is ?devastated to have failed? Muppets founder and his mentor Jim Henson.Whitmire has been with the Muppets since 1978, and took over as Kermit after Henson died in 1990. He wrote an emotional blog post in response to his firing a day after it was made public.He said he was let go against his will, and would never have left voluntarily.?For me the Muppets are not just a job, or a career, or even a passion. They are a calling, an urgent, undeniable, impossible to resist way of life,? Whitmire wrote. ?This is my life?s work since I was 19 years old. I feel that I am at the top of my game, and I want all of you who love the Muppets to know that I would never consider abandoning Kermit.?For me the Muppets ... are a calling, an urgent, undeniable, impossible to resist way of lifeWhitmire said he was informed that Kermit would be recast in October, and has kept silent in the ensuing months in the hopes that he could get his bosses to change their minds. He said he offered ?multiple remedies? to the reasons he was given for his firing.He would not say what those reasons were, nor would Muppet Studio or its parent company Disney, who have not responded to requests for comment from The Associated Press.Muppets Studio said in a statement to Time magazine that it ?thanks Steve for his tremendous contributions to Kermit the Frog and the Muppets franchise. We wish him well in his future endeavours?.The Hollywood Reporter and ABC News reported on Wednesday that longtime Muppets performer Matt Vogel will take over as Kermit.Kermit was Henson?s signature character, and the centrepiece of the Muppets franchise from 1955 until 1990. When he died it was unthinkable for many to imagine someone else taking on the role.But Whitmire took up the job, and became the only Kermit many of today?s young adults and children have ever known.The two made TV appearances on Late Night with Jimmy Fallon, 30 Rock and Saturday Night Live and in films like Muppets Most Wanted and The Muppets.Addressing friends and fans, Whitmire wrote on his blog: ?I just want you all to know that I am sorry if I have disappointed any of you at any point throughout our journey, and to let everyone know that I am devastated to have failed in my duty to my hero.?",23,"The voice actor of Kermit the Frog, Steve Whitmire has claimed he was fired from the Disney show 'The Muppets' after twenty seven years. In an open letter, he wrote, ""I'd never consider abandoning Kermit... to do so would be to forsake the assignment entrusted to me by Jim Henson... mentor... my hero. "" Whitmire took over as Kermit following Henson's death in 1990.","The voice actor of Kermit the Frog, Steve Whitmire has claimed he was fired from the Disney show 'The Muppets' after twenty seven years. In an open letter, he wrote, ""I'd never consider abandoning Kermit... to do so would be to forsake the assignment entrusted to me by Jim Henson... mentor... my hero. "" Whitmire took over as Kermit following Henson's death in 1990."
3426,"Sub-Divisional Magistrate Usha Chaturvedi, who listened to 2012 Delhi gang rape victim Nirbhaya's last declaration, has reportedly revealed that she wanted her rapists to be set on fire and not just be hanged. The Supreme Court on May 5 upheld the Delhi High Court's decision to award death penalty to four convicts in the Nirbhaya gang rape case.","After the Supreme Court on Friday upheld the death sentence awarded to Nirbhaya's rapists, a sub-divisional magistrate who listened to her last declaration said she wanted her tormentors to be set ablaze, the Times of India reported.SDM Usha Chaturvedi told TOI she was ""happy and satisfied"" the convicts would be sent to the gallows, and that Nirbhaya in December 2012 said ""the rapists should not just be hanged but (also) set on fire,"" the report said.The nation's top court yesterday rejected a plea challenging the death penalty given to Mukesh Singh, Vinay Sharma, Akshay Thakur and Pawan Gupta by the Delhi High Court, and decided they would be hanged till death.The matter was heard by a bench headed by Justice Dipak Misra, and also comprised Justices R Banumathi and Ashok Bhushan.The Supreme Court noted that the brutality, cruelty and the perverse nature of the crime made it a 'rarest of rare' case.The convicts still have three options left - filing a review petition in response to the apex court's verdict (their lawyers have said they plan to do so), filing a curave petition if the review petition is dismissed, and finally, requesting the president of India to commute their death sentence in a mercy petition.",6,"Sub-Divisional Magistrate Usha Chaturvedi, who listened to 2012 Delhi gang rape victim Nirbhaya's last declaration, has reportedly revealed that she wanted her rapists to be set on fire and not just be hanged. The Supreme Court on May 5 upheld the Delhi High Court's decision to award death penalty to four convicts in the Nirbhaya gang rape case.","Sub-Divisional Magistrate Usha Chaturvedi, who listened to 2012 Delhi gang rape victim Nirbhaya's last declaration, has reportedly revealed that she wanted her rapists to be set on fire and not just be hanged. The Supreme Court on May 5 upheld the Delhi High Court's decision to award death penalty to four convicts in the Nirbhaya gang rape case."
981,"Lahore High Court on Tuesday lifted a ban on the airing of Indian television serials in Pakistan. The court stated that ""the world has become a global village"" while questioning for how long such ""unreasonable restrictions"" could be imposed. The court noted that instead of a blanket ban, Indian content with ""objectionable"" or ""anti-Pakistan"" content could still be censored.","A ban on airing Indian shows in Pakistan has been lifted by a Pakistani court. The said ban had been imposed by Pakistan Electronic Media Regulatory Authority (PEMRA), following the Uri attacks last year. The blanket ban had been put in place last October.However, a Lahore high court recently objected to the ban saying that a ban on anti-Pakistan content is understandable, but a blanket ban is not needed.The court said that ""the world has become a global village"" and asked how long ""unreasonable restrictions"" can be imposed, Dawn reported.   ",5,"Lahore High Court on Tuesday lifted a ban on the airing of Indian television serials in Pakistan. The court stated that ""the world has become a global village"" while questioning for how long such ""unreasonable restrictions"" could be imposed. The court noted that instead of a blanket ban, Indian content with ""objectionable"" or ""anti-Pakistan"" content could still be censored.","The court noted that instead of a blanket ban, Indian content with ""objectionable"" or ""anti-Pakistan"" content could still be censored. The court stated that ""the world has become a global village"" while questioning for how long such ""unreasonable restrictions"" could be imposed. Lahore High Court on Tuesday lifted a ban on the airing of Indian television serials in Pakistan."
3866,"Referring to the DRS controversy in the recently concluded India-Australia series, PM Narendra Modi said to his Australian counterpart Malcolm Turnbull that he is glad that the decisions taken between them are not subject to DRS review. ""I hope your visit to India is as productive as it has been for Steven Smith's batting, the other Australian captain,"" added Modi.","Visiting Australian Prime Minister Malcolm Turnbull today accompanied Prime Minister Narendra Modi on a metro ride in the national capital. The two heads of state arrived at the Mandi House metro station today afternoon and, after greeting the people at the station, proceeded to a board a Metro to the Akshardham Temple. Chants of 'Modi, Modi' were heard at the metro station when the two leaders reached Mandi House, news agency ANI reported.PM Modi tweeted a photo of the two leaders taking a selfie, saying, ""On board the Delhi Metro with PM @TurnbullMalcolm. We are heading to the Akshardham Temple"", while Turnbull posted the duo's selfie.With @narendramodi on the Delhi Metro Blue Line - 212 kms & 159 stations since 2002 pic.twitter.com/O4Zr2695SgAt the Akshardam Temple, Turnbull and Modi were greeted with garlands and were taken on a tour of the iconic Hindu mandir complex. The two leaders first toured the temple on foot and then in a golf cart.  PM Narendra Modi and Australian PM Malcolm Turnbull at Delhi's Akshardham Temple pic.twitter.com/94lgIWRLLTPM Narendra Modi and Australian PM Malcolm Turnbull at Akshardham Temple in Delhi pic.twitter.com/VMtwEdh0rpEarlier in the day, Modi and Turnbull held a bilateral meet earlier in the day, inking six Memorandum of Understandings (MoUs) including one aimed at strengthening counter-terrorism cooperation. ",14,"Referring to the DRS controversy in the recently concluded India-Australia series, PM Narendra Modi said to his Australian counterpart Malcolm Turnbull that he is glad that the decisions taken between them are not subject to DRS review. ""I hope your visit to India is as productive as it has been for Steven Smith's batting, the other Australian captain,"" added Modi.","Referring to the DRS controversy in the recently concluded India-Australia series, PM Narendra Modi said to his Australian counterpart Malcolm Turnbull that he is glad that the decisions taken between them are not subject to DRS review. ""I hope your visit to India is as productive as it has been for Steven Smith's batting, the other Australian captain,"" added Modi."
